Project Name,Miejsce,zakres prac
Celebrity Apex,Marsylia,Wsparcie klienta w realizacji nowej instalacji elektrycznej w rejonie nadbudówki.
NCL Epic,Marsylia,Wsparcie klienta w realizacji nowej instalacji elektrycznej w rejonie nadbudówki.
Ropax,Gdańska Stocznia Remontowa,"Nowa budowa jednostki. Wsparcie klienta w realizacji podłączeń elektrycznych w rejonie siłowni. Wymiana urządzeń gastronomicznych oraz modernizacja instalacji elektrycznej w strefie bufetu.
"
Adventure of the Seas,Kadyks Hiszpania,Wsparcie klienta w realizacji nowej instalacji elektrycznej w rejonie nadbudówki.
Aida Diva E,Marsylia,Wsparcie klienta podczas szerokiego zakresu przebudowy. Praca w rejonie restaruacji oraz kabin.
Aida Luna,Rotterdam,Serwis elektryczny. Rejon kuchenny.
Aida Mar,Hamburg,Wsparcie klienta w realizacji przebudowy systemu oświetlenia.
Aida Prime,Cape Town RPA,Wsparcie klienta w realizacji przebudowy systemu oświetlenia.
AidaSOL,Hamburg,Wsparcie klienta w realizacji przebudowy systemu oświetlenia.
Allure of the Seas,Kadyks Hiszpania,Wsparcie klienta w realizacji nowej instalacji elektrycznej w rejonie nadbudówki.
Amera,Gdańska Stocznia Remontowa,Serwis elektryczny.
Anthem of the Seas,Singapur,Remont elektryczny sklepów oraz kabin.
Aroya Manara,Jeddah Saudi Arabia,Serwis oświetlenia - automatyka oświetlenia w rejonach publicznych.
Artania,Bremerhaven,Nowa instalacja oraz serwis elektryczy przed oddaniem kabin.
Azamara Journey,Miami,Serwis sprzętu kuchennego.
BRITANNIA SEAWAYS,Gdańska Stocznia Remontowa,Modernizacja układu sterowania
Brilliance of the Seas,Marsylia,Wsparcie klienta przy dodaniu ponad 200 kamer na całym statku. Nowa instalacja. Wymiana urządzeń gastronomicznych oraz modernizacja instalacji elektrycznej w strefie bufetu. Wsparcie prac remontowych w kasynie – nowa instalacja oświetlenia i zasilania automatów.                
CCL Jubilee TE,Bremerhaven - Miami,Ostatnie prace wykończeniowe podczas pierwszego rejsu.
Carnival Freedom,Fort Lauderdale USA,Nowa instalacja okablowania dla systemów bezpieczeństwa i rozrywki w części hotelowej.
Carnival Legend,Baltimore USA,Przebudowa kabin z nową instalacją PA/GA i telewizji hotelowej.
Carnival Liberty,Kadyks Hiszpania,"Prace kablowe dla nowych głośników, ekranów LED i zasilania w przestrzeniach wspólnych."
Carnival Radiance,Los angeles,Przebudowa kabin z nową instalacją PA/GA i telewizji hotelowej.
Carnival Spirit,Marsylia,Modernizacja systemów oświetleniowych i instalacja nowych gniazd w kabinach oraz restauracjach.
Carnival Splendor,SYDNEY Australia,Wymiana urządzeń gastronomicznych oraz modernizacja instalacji elektrycznej w strefie bufetu.
Carnival Valor,Kadyks Hiszpania,Przebudowa kabin z nową instalacją PA/GA i telewizji hotelowej.
Carnival paradise,Freeport Bahamy,Instalacja nowych maszyn w kuchni oraz przebudowa oświetlenia i zasilania w restauracji.
Carribean Princess,Palermo Wlochy,Modernizacja infrastruktury IT i systemów rozrywkowych na pokładzie nadbudówki.
Celebrity Apex,Marsylia,Wsparcie prac remontowych w kasynie – nowa instalacja oświetlenia i zasilania automatów.
Celebrity Constellation,Dubrovnik Chorwacja,"Montaż nowego, elektrycznie wysuwanego ekranu projekcyjnego w jednej z sal konferencyjnych na statku pasażerskim. Prace obejmowały instalację ekranu, zasilania oraz integrację z istniejącym systemem AV."
Celebrity Eclipse,Palermo Wlochy,Przebudowa kabin z nową instalacją PA/GA i telewizji hotelowej.
Celebrity Equinox,Kadyks Hiszpania,Instalacja nowych maszyn w kuchni oraz przebudowa oświetlenia i zasilania w restauracji.
Celebrity Infinity,Ateny,Modernizacja infrastruktury IT i systemów rozrywkowych na pokładzie nadbudówki.
Celebrity Millenium,Singapur,Wymiana urządzeń gastronomicznych oraz modernizacja instalacji elektrycznej w strefie bufetu.
Celebrity Reflection,Miami USA,"Instalacja nowych gniazd, systemów CCTV i podłączeń UPS w rejonie teatru oraz lobby."
Celebrity Silhouette,Marsylia,Przebudowa kabin z nową instalacją PA/GA i telewizji hotelowej.
Celebrity Solstice,Singapur,Wsparcie prac remontowych – nowa instalacja oświetlenia
Celebrity Summit,Freeport Bahamy,Przebudowa kabin z nową instalacją PA/GA i telewizji hotelowej.
Club med. 2,Kadyks Hiszpania,"Prace kablowe dla nowych głośników, ekranów LED i zasilania w przestrzeniach wspólnych."
Coral Princess,Singapur,Wsparcie prac remontowych w kasynie – nowa instalacja oświetlenia i zasilania automatów.
Costa Fortuna,Ateny,Asysta serwisowa przy systemie stabilizatorów
Diamond Princess,Singapur,Wsparcie prac remontowych w kasynie – nowa instalacja oświetlenia i zasilania automatów.
Disnay Lighthouse,Rock Sound Bahamy,Prace elektryczne na wyspie. Nowa instalacja.
Disney Adventure,Wismar Niemcy,Nowa budowa. Realizacja systemów sterowania i zasilania entertaiment w teatrze.
Disney Dream,Brest Francja,Przebudowa rejon nadbudowki
Disney Treasure,Amsterdam,"Instalacja nowych gniazd, systemów CCTV i podłączeń UPS w rejonie teatru oraz lobby."
Emerald Pricness,Palermo Wlochy,"Prace kablowe dla nowych głośników, ekranów LED i zasilania w przestrzeniach wspólnych."
Enchanted Princess,Palermo Wlochy,Przebudowa kabin z nową instalacją PA/GA i telewizji hotelowej.
Eurodam,Fort Lauderdale,Modernizacja infrastruktury IT i systemów rozrywkowych na pokładzie nadbudówki.
FUGRO VOYAGER,Gdańska Stocznia Remontowa,Przebudowa kabin z nową instalacją PA/GA i telewizji hotelowej.
Finnfellow,Gdańska Stocznia Remontowa,Wymiana torów kablowych w pomieszczeniu płuczki wieżowej zgodnie ze specyfikacją
Freedom of the seas,Kadyks Hiszpania,Przebudowa kabin z nową instalacją PA/GA i telewizji hotelowej.
Graunder of the seas,Kadyks Hiszpania,"Instalacja nowych gniazd, systemów CCTV i podłączeń UPS w rejonie teatru oraz lobby."
HAL Noordam,Singapur,"Montaż nowych automatów do gier, instalacja oświetlenia LED i systemów nagłośnienia w kasynie."
HAL Oosterdam,Freeport Bahamy,Modernizacja systemów oświetleniowych i instalacja nowych gniazd w kabinach oraz restauracjach.
HAL Volendam,Freeport Bahamy,Instalacja nowych maszyn w kuchni oraz przebudowa oświetlenia i zasilania w restauracji.
Les Alizes,Saint-Nazaire,"Instalacja nowych gniazd, systemów CCTV i podłączeń UPS w rejonie teatru oraz lobby."
Hal Westerdam,Seattle/USA,Przebudowa kabin z nową instalacją PA/GA i telewizji hotelowej.
ICON of the seas,Turku Finlandia,Kompleksowa realizacja systemów elektrycznych w rejonie załogowych klatek schodowych podczas nowej budowy
Island Princess,Civitavecchia Włochy,"Instalacja nowych gniazd, systemów CCTV i podłączeń UPS w rejonie teatru oraz lobby."
Jewel Of The Seas,Amsterdam,Wsparcie prac remontowych w kasynie – nowa instalacja oświetlenia i zasilania automatów.
LONE,Gdańska Stocznia Remontowa,Agregaty pomocnicze 3 szt - praca dla serwisu Armatora
Lindblad National Geography,Santander Hiszpania,Instalacja nowych maszyn w kuchni oraz przebudowa oświetlenia i zasilania w restauracji.
MS Europa,Bremen,Przebudowa kabin z nową instalacją PA/GA
Majestic Princess,Palermo Wlochy,Instalacja nowych maszyn w kuchni oraz przebudowa oświetlenia i zasilania w restauracji.
Malta Azura,Malta,"Montaż nowych automatów do gier, instalacja oświetlenia LED i systemów nagłośnienia w kasynie."
Manara,Bremenhaven,Generalna przebudowa na zyczenie nowego właściciela
Marella Explorer,Korfu Grecja,Asysta serwisowa przy systemie stabilizatorów
Marella Voyager,Barbados,Serwis elektryczny sprzętu kuchennego.
Margaritaville,Belfast,Wsparcie klienta w zakresie elektrycznym remont ponad 200 kabin.
Mariner of the seas,Orlando,"Instalacja nowych gniazd, systemów CCTV i podłączeń UPS w rejonie teatru oraz lobby."
Mega Victoria,Genua,"Instalacja nowych gniazd, systemów CCTV i podłączeń UPS w rejonie teatru oraz lobby."
NCL Epic,Marsylia,Nowa instalacja okablowania dla systemów bezpieczeństwa i rozrywki w części hotelowej.
Nieuw Amsterdam,Miami,Modernizacja infrastruktury IT i systemów rozrywkowych na pokładzie nadbudówki.
Nordlys,Gdańska Stocznia Remontowa,Pomoc przy uruchomieniach systemów. Prace wykończeniowe przed opuszczeniem jednostki.
Oasis of the seas,Kadyks Hiszpania,Przebudowa kabin z nową instalacją
Ocean Discoverer,Shanghai,Wsparcie merytoryczne podczas realizacji nowej budowy. Nadzór nad trzymaniem standardów.
PHILLIP BAY,Gdańska Stocznia Remontowa,Pomoc przy uruchomieniach systemów. Prace wykończeniowe przed opuszczeniem jednostki.
Queen Marry 2,Palermo Wlochy,Modernizacja infrastruktury IT i systemów rozrywkowych na pokładzie nadbudówki.
ROPAX,Gdańska Stocznia Remontowa,Prace elektryczne na nowo budowanej jednostce
Regal Princess,Southampton,Nowy instalacja oświetleniowa
Resilant Lady,Civitavecchia,Modernizacja systemów oświetleniowych i instalacja nowych gniazd w kabinach oraz restauracjach.
Rhapsody of the Seas,Freeport Bahamy,Wsparcie klienta przy dodaniu ponad 200 kamer na całym statku. Nowa instalacja.
Scarlet Lady,Palermo Wlochy,"W ramach modernizacji wykonano instalacje i prace elektryczne w kilku lokalizacjach na statku, obejmujące m.in. podłączenie nowych automatów do gier, oświetlenia, gniazd oraz urządzeń gastronomicznych. Prace objęły również demontaż niektórych elementów wyposażenia oraz dostosowanie zasilania UPS i okablowania audio."
Seabourn Sojourn,Casablanca Maroko,Wymiana urządzeń oraz modernizacja instalacji elektrycznej w strefie bufetu.
Seaburn Quest,Boston,Serwis elektryczny rejon kuchenny.
Serenada of the Seas,Freeport Bahamy,Wsparcie klienta przy dodaniu ponad 200 kamer na całym statku. Nowa instalacja. Modernizacja infrastruktury IT i systemów rozrywkowych na pokładzie nadbudówki.                
Spirit of tasmania,Rauma Finlandia,Kompleksowa realizacja systemów elektrycznych w rejonie klatek schodowych.
Stena Forwarder,Gdynia,Asysta serwisowa przy systemie stabilizatorów
Stena Jutlandica,,"Prace kablowe dla nowych głośników, ekranów LED i zasilania w przestrzeniach wspólnych."
The World,Kadyks Hiszpania,"Prace kablowe dla nowych głośników, ekranów LED i zasilania w przestrzeniach wspólnych. Wymiana urządzeń gastronomicznych oraz modernizacja instalacji elektrycznej w strefie bufetu. Instalacja nowych gniazd, systemów CCTV i podłączeń UPS w rejonie teatru oraz lobby.                "
Utopia of the seas,Orlando,"Prace kablowe dla nowych głośników, ekranów LED i zasilania w przestrzeniach wspólnych. Instalacja nowych gniazd, systemów CCTV i podłączeń UPS w rejonie teatru oraz lobby."
Valiant Lady,Miami,Wymiana urządzeń oraz modernizacja instalacji elektrycznej w Kasynie
Vision of the seas,Miami,Elektryczne prace serwisowe w strefie gastronomicznej
Voyager of the seas,Kadyks Hiszpania,"Montaż nowych automatów do gier, instalacja oświetlenia LED i systemów nagłośnienia w kasynie."
Westerdam,Kadyks Hiszpania,"Prace kablowe dla nowych głośników, ekranów LED i zasilania w przestrzeniach wspólnych."
Wind Star,Kadyks Hiszpania,Przebudowa z nową instalacją
ORP Kormoran,Gdańska Stocznia Remontowa,Uruchamianie systemów - automatyka.
